gyro_x,gyro_y,gyro_z,timestamp,firebase_key
-0.49,0.0,0.31,2025-08-22 08:59:44.703741+00:00,-OYG-LIXN-JFeeC6PGVf
-0.49,0.06,0.37,2025-08-22 08:59:46.403763+00:00,-OYG-LLF1JZEw1Yo20Pk
-0.49,-0.06,0.31,2025-08-22 08:59:46.707950+00:00,-OYG-LQ69yJ1AjfoJHOJ
-0.43,-0.06,0.31,2025-08-22 08:59:47.710395+00:00,-OYG-Lf0rg_AnydtUxe9
-0.43,-0.06,0.31,2025-08-22 08:59:48.712658+00:00,-OYG-Lux6S1SfFNoYSO5
-0.49,0.06,0.31,2025-08-22 08:59:49.714856+00:00,-OYG-M9NTGPyCT1sHSGu
-0.49,-0.06,0.31,2025-08-22 08:59:50.717035+00:00,-OYG-MSJ0X1QdOWJ7zK5
-0.49,-0.06,0.31,2025-08-22 08:59:51.719291+00:00,-OYG-Mdl6e7l9WM1Kep2
-0.49,-0.06,0.37,2025-08-22 08:59:52.721679+00:00,-OYG-MsZckkpBEAYEt0M
-0.43,0.0,0.31,2025-08-22 08:59:53.723905+00:00,-OYG-N7f4-yD4VK8uAin
-0.49,-0.06,0.31,2025-08-22 08:59:54.726231+00:00,-OYG-NNFPYFYoW9SdWYQ
-0.49,0.0,0.37,2025-08-22 08:59:55.728466+00:00,-OYG-NcJXzyd_fYGJlcB
-0.49,0.0,0.37,2025-08-22 08:59:56.730633+00:00,-OYG-NrTnbazTEgcM_bi
-0.49,-0.06,0.31,2025-08-22 08:59:57.732984+00:00,-OYG-O69xhNE2bkEetrq
-0.49,-0.06,0.31,2025-08-22 08:59:58.735602+00:00,-OYG-OLei5i8Q51_KMAz
-0.43,0.0,0.37,2025-08-22 08:59:59.737865+00:00,-OYG-OakCt9pRSrGk0Gy
-0.55,0.0,0.31,2025-08-22 09:00:00.740097+00:00,-OYG-Or7N9Xpep_9IYa2
-0.49,0.0,0.31,2025-08-22 09:00:01.742283+00:00,-OYG-P4xfsrgWzjUAZut
-0.49,-0.06,0.31,2025-08-22 09:00:02.744518+00:00,-OYG-PKx4y8O-k30fqOW
-0.49,0.0,0.37,2025-08-22 09:00:03.746761+00:00,-OYG-P_qsX8rvzTDzUxV
-0.49,0.0,0.37,2025-08-22 09:00:04.748940+00:00,-OYG-PpJpHzQbdsEXbmS
-0.49,0.0,0.31,2025-08-22 09:00:05.751182+00:00,-OYG-Q3VzhCkTXGNtgFl
-0.49,0.0,0.31,2025-08-22 09:00:06.753559+00:00,-OYG-QJmcb91vmbMmnQQ
-0.49,0.0,0.31,2025-08-22 09:00:07.755745+00:00,-OYG-QYWn3SRiJKEQEOP
-0.55,0.0,0.37,2025-08-22 09:00:08.757907+00:00,-OYG-QnMlYa3u9ue_MLT
-0.49,0.0,0.31,2025-08-22 09:00:09.760140+00:00,-OYG-R2OI3WD0D2Kjc0u
-0.49,0.0,0.31,2025-08-22 09:00:10.762367+00:00,-OYG-RI9WAbClYeoYuPd
-0.55,0.0,0.37,2025-08-22 09:00:11.764631+00:00,-OYG-RXgqxbCepF0rVdV
-0.55,0.0,0.31,2025-08-22 09:00:12.766755+00:00,-OYG-Rm1bEDWtL4xnT3i
-0.49,-0.06,0.24,2025-08-22 09:00:13.769001+00:00,-OYG-S1HSL9iIODfSzAj
-0.49,0.0,0.37,2025-08-22 09:00:14.771261+00:00,-OYG-SGSKVeRRaLBRVCG
-0.49,0.0,0.31,2025-08-22 09:00:15.773432+00:00,-OYG-SVtbpbowLY6dV2S
-0.49,-0.06,0.31,2025-08-22 09:00:16.775726+00:00,-OYG-SkUUZkmnmJ4uWs4
-0.49,-0.06,0.31,2025-08-22 09:00:17.778141+00:00,-OYG-T-ScwqYGCyFkYhv
-0.49,0.0,0.37,2025-08-22 09:00:18.780369+00:00,-OYG-TF6K-lhU3hKYwas
-0.49,0.0,0.31,2025-08-22 09:00:19.782591+00:00,-OYG-TV6jdhO3yHC5MXL
-0.55,0.0,0.37,2025-08-22 09:00:20.977715+00:00,-OYG-TnHAIlQ4aKqnhRM
-0.49,-0.06,0.31,2025-08-22 09:00:21.787191+00:00,-OYG-TzDqUEcB0_ZgoDV
-0.49,0.0,0.31,2025-08-22 09:00:22.789287+00:00,-OYG-UDOjNnzsFu6NGhL
-0.49,0.0,0.37,2025-08-22 09:00:23.791410+00:00,-OYG-UT3HU3-9LgcHANc
-0.49,-0.06,0.31,2025-08-22 09:00:24.793703+00:00,-OYG-UiDT_SOXnONRPHJ
-0.49,0.0,0.31,2025-08-22 09:00:25.795956+00:00,-OYG-UxhKOaLkXiSFP_u
-0.49,0.06,0.31,2025-08-22 09:00:26.798112+00:00,-OYG-VCh4PCiSEgLK0dE
-0.55,-0.06,0.37,2025-08-22 09:00:27.800425+00:00,-OYG-VSaCaBNSQs91YWp
-0.49,-0.06,0.31,2025-08-22 09:00:28.802815+00:00,-OYG-Vs010Gi895qoVFd
-0.55,0.0,0.37,2025-08-22 09:00:29.805003+00:00,-OYG-Vw3MMjARppruIGY
-0.49,-0.06,0.37,2025-08-22 09:00:30.807242+00:00,-OYG-WBDegaYuUHsqZeZ
-0.49,0.0,0.31,2025-08-22 09:00:31.809415+00:00,-OYG-WQaK1y-Gm2kKNcB
-0.49,0.0,0.31,2025-08-22 09:00:32.811650+00:00,-OYG-WfoW_fiGGWHEJPJ
