# Sensor Log File
# timestamp_ms = time since Arduino started (milliseconds)
# temperature_C = temperature from DHT22 (°C)
# humidity_percent = relative humidity from DHT22 (%)
# distance_cm = distance from HC-SR04 ultrasonic sensor (cm)
timestamp_ms,temperature_C,humidity_percent,distance_cm
547585,23.00,54.30,26.37
549593,23.00,53.90,25.89
551603,23.00,53.40,25.98
553611,23.00,53.00,25.89
555621,23.00,53.00,25.98
557629,23.00,52.90,25.89
559638,23.00,52.60,25.92
561647,23.00,52.30,25.86
563656,23.00,52.10,25.94
565664,23.00,52.00,26.30
567674,23.00,59.50,26.28
569683,23.10,67.70,26.42
571691,23.10,73.30,25.84
573700,23.20,77.50,26.37
575707,23.20,74.00,16.47
577714,23.20,67.90,9.89
579721,23.20,63.50,17.61
581730,23.20,60.40,28.03
583738,23.30,58.20,26.25
585747,23.30,56.60,26.30
587756,23.30,55.30,26.37
589765,23.30,54.30,26.28
591774,23.40,53.80,25.96
593783,23.40,53.40,26.40
595792,23.40,52.90,26.40
597801,23.40,53.00,25.91
599809,23.40,52.50,25.98
601819,23.40,52.30,26.37
603828,23.40,52.10,26.30
605837,23.40,51.90,26.37
607846,23.50,51.70,26.28
609855,23.50,51.70,26.37
611864,23.50,51.50,26.30
613873,23.50,51.50,26.37
615882,23.50,51.40,26.30
617891,23.50,51.50,25.84
619900,23.50,51.50,26.42
621908,23.50,51.70,26.40
623917,23.50,51.80,26.26
625926,23.50,51.70,26.40
627935,23.50,51.70,26.25
629944,23.50,51.80,26.42
631953,23.60,51.60,26.28
633962,23.50,51.20,26.01
635971,23.50,51.00,26.42
637979,23.60,50.90,26.26
639988,23.50,51.10,25.84
641997,23.60,51.10,25.82
644006,23.50,51.00,26.40
646014,23.60,51.00,25.89
648024,23.60,51.00,25.86
650033,23.60,51.00,26.40
652042,23.50,51.00,26.26
654050,23.60,50.90,25.86
656059,23.60,50.70,25.99
658067,23.60,50.70,26.30
660077,23.60,50.80,26.40
662086,23.50,51.10,25.98
664095,23.60,51.90,26.30
666104,23.60,52.90,26.38
668111,23.60,52.60,14.77
670120,23.60,52.50,14.31
672128,23.60,52.40,14.74
674135,23.50,52.20,14.70
